website,company_name,description,software_classification,enterprise_grade_classification,industry,customers_names_list,employee_headcount,investors,geography,parent_company,address_street,address_zip,address_city,address_country_region,finance,email,phone
https://www.buw.ag/,Bienen&Wilms Unternehmensgruppe,"Bienen&Wilms is a group of companies offering consulting services in insurance, finance, and investments. They provide independent advice, focusing on transparency, diverse offerings, and comparability to ensure clients achieve the best results.  They offer individual investment management, insurance brokerage, and tailored investment strategies.",Service-based,SMB,Financial Services,Not found,Not found,Not found,Germany,Not found,Rheinstraße 9b,41836,Hückelhoven,Germany,Not found,info@buw.ag,+49(0) 2433-98176 0
https://adviserinfo.sec.gov/firm/summary/319009,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://binck.nl/,Saxo Bank A/S,"Saxo Bank is a regulated financial institution offering online trading platforms for various assets like stocks, ETFs, bonds, and mutual funds.  They provide low-cost trading with no hidden fees, multiple platforms, and educational resources for investors.","Product-based, Service-based",Enterprise,Finance,Not found,Not found,Not found,"Denmark, International",Not found,Philip Heymans Alle 15,2900,Hellerup,Denmark,"S&P investment-grade credit rating; The Danish Guarantee Fund protects up to EUR 100,000 of deposits.",Not found,Not found
https://birdee.co/en-eu/,Birdee,"Birdee is a digital investment platform offering simple and responsible investment options starting from €50.  It focuses on sustainable and performing funds, aiming to democratize investing and make it accessible to everyone.  Birdee also provides a 'Birdee for Partners' program to bring its vision of transparent and ethical investment to financial institutions.",Saas,Startup,Investment Management,Not found,Not found,Not found,"Europe (Luxembourg, France, Belgium)",BNP Paribas Asset Management,"77-79, Parc d’Activités Capellen",8308,Capellen,Luxembourg,Not found,"12hello@birdee.coFeel, 12hello@birdee.coN","202220232024, +32 4 268 10 12, +33 1 88 32 08 21, +352 20 30 16 22"
https://www.bkw.com/en,BKW,"BKW develops trailblazing solutions in infrastructure, buildings, and energy to help customers address climate change, digitalization, and urbanization challenges.  They pursue ambitious sustainability goals and strive for efficient resource use.",Service-based,Enterprise,"Energy, Infrastructure, Building Services",Not found,12000,Not found,"Switzerland, Germany, France, Italy",Not found,Not found,Not found,Not found,Not found,Operating revenue of CHF 4.8 billion in 2024 (3.8% increase year-on-year); Operating profit (EBIT) of CHF 789.9 million in 2024 (27.3% increase year-on-year).,Not found,+41 58 477 51 11
Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/,Failed to scrape https://blackfort.ch/
https://www.blackpoint-am.com/en/,BlackPoint Asset Management GmbH,"BlackPoint Asset Management GmbH is an investment management company offering long-lasting investment strategies across generations.  They manage funds such as the BlackPoint Evolution Fund and the BlackPoint NextGen Fund, employing a transparent business model that aligns client and company interests.  Their approach incorporates sustainability risks into the investment process and focuses on income, liquidity, and future-oriented topics.",Service-based,Not found,"Finance, Asset Management",Not found,Not found,Family office of Dr Kurt Schwarz,"Germany, Austria, Switzerland",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bluegemcp.com/,Bluegem Capital Partners LLP,"Bluegem Capital Partners is an investment firm focusing on consumer businesses with non-discretionary demand, leveraging data analytics, AI, and digital multichannel platforms. They have raised and managed approximately €1 billion since inception and partner closely with founders and management teams.",Service-based,Enterprise,"Finance, Investment",Not found,Not found,Not found,"London, UK",Not found,108 – 110 Jermyn Street,SW1Y 6EE,London,UK,"Raised and managed approx €1bn since inception, now investing from third generation fund",enquiries@bluegemcp.com,+44 (0)20 7647 9710
https://www.bnpparibas.de/en/portfolio/private-individuals/consorsbank/,Consorsbank by BNP Paribas,"Consorsbank is a digital bank offering a range of savings and investment products to help clients shape their financial future.  They provide tools and support for planning and managing finances, including investment solutions, savings plan calculators, and portfolio evaluations.  They also offer services for everyday banking like current accounts and brokerage of real estate, installments, or securities loans.",Service-based,Enterprise,Finance,Not found,Not found,Not found,"Germany, Europe",BNP Paribas,Not found,Not found,Not found,Germany,Not found,groupcommunication.germany@bnpparibas.com,Not found
Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking,Failed to scrape https://group.bnpparibas/en/group/our-businesses-and-expertise/corporate-institutional-banking
http://www.bonacapital.lu,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bondcapitalhouse.com/,Bond Capital House GmbH,"Bond Capital House GmbH provides full lifecycle services for issuers focused on private placements, assisting with timely decisions and managing information and payment flows to bondholders. They also support issuers with the launch and listing of securities on exchanges worldwide, offering fast-track solutions for prompt execution.  Additionally, they provide consulting services from the idea phase until redemption, offering essential documentation and assistance to expedite deal closures.",Service-based,Not found,Finance,Not found,Not found,Not found,Switzerland,Not found,Bahnhofstrasse 10,8001,Zurich,Switzerland,Not found,info@bondcapitalhouse.com,Not found
https://www.bovassetmanagement.com/,BOV Asset Management Ltd.,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bovfundservices.com/,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bovemij.nl/,Bovemij,"Bovemij helps businesses in the mobility industry succeed. They offer business insurance, private products, data services, and digitalization solutions to help clients increase revenue, profit margins, and free up time.",Service-based,Enterprise,"Insurance, Finance, Data Services, Mobility",MotoPort Rotterdam,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Bovemij Group improved results due to investment income and efficiency measures (08-04-2025),Not found,Not found
https://www.bowtrustees.com/,BOW Trustees Limited,"BOW Trustees Limited provides bespoke fiduciary solutions to individual, corporate, and Family Office clients.  They utilize Trusts, Foundations, Companies, and Partnerships established in various jurisdictions, managing diverse asset classes and arranging financing. They work independently with a selection of top-tier advisors in banking, investment, property, tax, legal, and finance.",Service-based,Not found,Finance,Not found,Not found,Not found,Guernsey,Not found,Not found,Not found,Not found,Guernsey,Not found,Not found,Not found
https://www.bpd-immobilienentwicklung.de/,BPD Immobilienentwicklung GmbH,"BPD Immobilienentwicklung GmbH develops and builds sustainable and affordable housing projects in Germany.  They focus on holistic concepts and integrated locations, creating diverse housing options in various cities.",Service-based,Enterprise,Real Estate Development,Not found,Not found,Not found,Germany,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bpdeurope.com/,BPD,"BPD develops sustainable, affordable, and inclusive living environments.",Service-based,Enterprise,Real Estate Development,Not found,Not found,Not found,"Netherlands, Germany",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.brandkontoret.se/,Brandkontoret,"Brandkontoret is a customer-owned company specializing in property insurance for buildings in Stockholm, Sweden.  They've been operating since 1746 and serve property management companies, housing cooperatives, and private owners of multi-family houses. They focus on personal service and preventative property maintenance.",Service-based,SMB,"Insurance, Real Estate",Not found,Not found,Not found,"Stockholm, Sweden",Not found,Not found,Not found,Stockholm,Sweden,Not found,info@brandkontoret.se,46854528600
https://bfo-ag.de/,BFO – BREMER FAMILY OFFICE AG,"Bremer Family Office AG provides independent financial consulting services to private individuals, entrepreneurs, foundations, and companies.  They offer a range of services including financial planning, asset controlling, intangible asset management, succession planning, business and financing consulting, and foundation consulting.  They are a BaFin-licensed securities institute.",Service-based,Enterprise,Finance,Not found,Not found,Not found,Germany,Not found,Domshof 21,28195,Bremen,Germany,Not found,info@bfo-ag.de,+49 421 696 266 66
https://www.btgpactual.eu/en,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.bulins.com/,"ЗД ""Бул Инс"" АД","Insurance company offering a range of insurance products for property, vehicles, health, professional liability, and more.",Service-based,Enterprise,Insurance,Not found,Not found,Not found,Bulgaria,Not found,Not found,Not found,Not found,Bulgaria,"Capital of 44.5 million leva, positive financial results in past years.",Not found,070016633
https://www.bulgariainsurance.bg/en/other/terms-of-use,Bulgaria Insurance AD,"Bulgaria Insurance AD provides insurance services, including property, travel, and potentially health insurance. They operate online, offering digital services like online purchasing and claim filing.",Service-based,Enterprise,Insurance,Not found,Not found,Not found,Bulgaria,Not found,Not found,Not found,Not found,Bulgaria,Not found,Not found,+359 700 13 555
https://buruj.sa/,Buruj Cooperative Insurance Company,Buruj Insurance provides cooperative insurance services.,Service-based,Enterprise,Insurance,Not found,201-500,Not found,Saudi Arabia,Not found,"طريق الثمامة, حي الندى",11553,Riyadh,Saudi Arabia,"Paid-up capital is SAR. 300,000,000 as of January 1, 2019.",Not found,9.66113E+11
https://www.bustelberg.nl/,Bustelberg Vermogensbeheer,"Bustelberg is an investment firm providing wealth management services, focusing on personalized relationships, strong returns, and transparent fees. They conduct thorough fundamental research to select high-performing companies for their clients' portfolios.",Service-based,SMB,Investment Management,Not found,Not found,Not found,Netherlands,Not found,"Willemstraat 8, Leestraat 31, Oude Haven 54b","4811 AK, 3743 EH, 4301 CL","Breda, Baarn, Zierikzee",Netherlands,Not found,info@bustelberg.nl,"+31765655262, +31355483220"
https://www.bv-vermoegen.de/,BV Bayerische Vermögen GmbH,"BV Bayerische Vermögen GmbH is a wealth management company that provides services to private clients, families, foundations, and institutional investors.  They focus on a fact-based, rule-based approach to investment management, emphasizing transparency, independence, and risk management.",Service-based,Enterprise,"Finance, Wealth Management","Ingelore O., Frank B., Sabine Thiel-Siling (STS Interiors), Peter G., Rainer G., Ludwig R., Gisela and Frank K.",25,Not found,Germany,LAIQON-Gruppe,Oberanger 43,80331,München,Germany,"6,7 Milliarden € Assets under Management (as of 03/2025), 2.400 Kunden",willkommen-bv@laiqon.com,+49 89 179 24 65 100
https://www.bvv.de/unternehmen/english-information/,BVV Pension Management GmbH,"BVV Pension Management GmbH is Germany's largest pension institution (by capital investment volume) offering pension solutions for the finance industry.  They provide externally financed and administered pension plans, flexible pension plans, and transfer services for existing pension systems.  They also offer member services including advising on occupational pension provision, employee information support, and administration solutions.",Service-based,Enterprise,Finance,Not found,300,Not found,Germany,Not found,Not found,Not found,Berlin,Germany,Investment volume approx. 33.7 billion EUR; Administration expense ratio 2.3%,Not found,4.9309E+11
https://www.diebayerische.de/,die Bayerische,"die Bayerische is an insurance company offering various insurance products, including health, life, and property insurance, with a focus on personal, reliable, and forward-looking services.  They also offer investment products and financial planning services.",Service-based,Enterprise,"Insurance, Finance",Not found,Not found,Not found,Germany,Not found,Not found,Not found,Not found,Not found,Not found,Not found,+49 89 67 87-0
Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/,Failed to scrape https://www.cdassocies.lu/
Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual,Failed to scrape An Individual
https://brychexperts-comptables.com/homepage/,Cabinet Brych FranÃ§ois Jean,"Accounting and audit firm in Monaco with over 40 years of experience. They focus on client objectives, providing accounting expertise and advising on firm development.",Service-based,SMB,Accounting and Audit,Not found,Not found,Not found,Monaco,Not found,15 Avenue de Grande-Bretagne,98000,Monaco,Monaco,Not found,accueil@brych.experts-comptables.mc,+377 93 30 15 15
https://belaieff-yvan.com/,Cabinet Comptable Yvan BELAIEFF,"Provides accounting, legal, social, and tax advice to businesses and individuals in Monaco.",Service-based,SMB,"Accounting, Legal Services, Tax Services",Not found,Not found,Not found,Monaco,Not found,"6, Boulevard Rainier III",98000,MONACO,Monaco,Not found,Not found,+377 93 30 22 38
https://www.dbrych.com/,Cabinet Delphine Brych,"Cabinet Delphine Brych is an accounting firm based in Monaco that helps businesses with regulatory compliance (accounting, social, tax, and legal obligations), providing advice to ensure business sustainability. They also assist entrepreneurs in creating sustainable businesses and understanding Monaco's specific regulations.",Service-based,SMB,"Accounting, Financial Services",Not found,Not found,Not found,Monaco,Not found,Not found,Not found,Monaco,Monaco,Not found,Not found,Not found
https://www.flichygrange.fr/nos-avocats/nos-associes/franck-morel.htm,FLICHY GRANGÉ AVOCATS,"FLICHY GRANGÉ AVOCATS is a law firm specializing in employment law, providing consulting and litigation services in areas such as working time, collective bargaining, relations with employee representatives, and change management.  They also have expertise in various employment forms (temporary work, salary portage, independent platforms), religious matters, professional training, and occupational health and safety. They work with businesses, organizations, and professional federations.",Service-based,Not found,"Legal Services, Employment Law",Not found,Not found,Not found,France,Not found,16-18 Rue du 4 Septembre,75002,Paris,France,Not found,Not found,+33 (0)1 56 62 30 00
Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found
Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found,Failed to scrape No official website found
Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/,Failed to scrape https://mc.kompass.com/c/rastello-carmona-janick-cabinet/mc600594/
https://www.steinertoesca.mc/,Not found,Not found,Service-based,SMB,Accounting,Not found,Not found,Not found,Monaco,Not found,20 avenue de Fontvieille,98000,Monaco,Monaco,Not found,Not found,+377 99 99 99 05
https://monaco-directory.com/index.php?page=5&id=259,Cabinet Viale,Cabinet Viale provides legal and accounting services.,Service-based,SMB,Legal and Accounting Services,Not found,7,Not found,Monaco,Not found,5 Rue Louis Notari,98000,Monaco,Monaco,Not found,cabinetviale@monaco.mc,+377 92 05 78 01
https://www.caibuo-capital.com/,CAIBUO CAPITAL S.A R.L.,"A leading, independent provider of investment funds services.  A regulated fund management company offering SIF AIFM funds management with European distribution.",Service-based,Not found,Finance,Not found,Not found,Not found,"Luxembourg, Europe",Not found,152 Boulevard de la Pétrusse,L-2330,Luxembourg,Luxembourg,Not found,Not found,Not found
https://www.calista-directinvestors.eu/,Calista Direct Investors,"Calista Direct Investors is a private equity and venture capital firm that provides outsourced investment team services to family offices and private investors. They focus on optimizing investment exposure in private markets, addressing access, valuation, monitoring, and suitability issues.",Service-based,Enterprise,"Financial Services, Private Equity, Venture Capital",Not found,60,Capnor,"Europe, Asia, US, Luxembourg, Belgium, United Kingdom, DACH region (Germany, Austria, Switzerland), United States",Not found,1 Place d'Armes,L-1136,Luxembourg,Luxembourg,Not found,info@calista-directinvestors.eu,-748
https://www.canadalife.de/,Canada Life,"Canada Life provides financial security solutions for families and individuals, including retirement planning, risk protection (disability, critical illness, life insurance), and investment products. They emphasize their strong financial foundation and long history (over 175 years).",Service-based,Enterprise,"Finance, Insurance",Not found,Not found,Not found,"Germany, Canada",Great-West Lifeco Inc.,Not found,Not found,Not found,Germany,"The Canada Life group manages assets of €2,180 billion.",kundenservice@canadalife.de,+49 6102-306-1800
https://www.canadalife.de/,Canada Life,"Canada Life offers financial security solutions including retirement planning, risk insurance (disability, critical illness, life), and investment products.  They cater to both individual and corporate clients.",Service-based,Enterprise,"Finance, Insurance",Not found,Not found,Not found,"Germany, Canada",Great-West Lifeco Inc.,Not found,Not found,Not found,Germany,"The Canada Life group, part of Great-West Lifeco Inc., manages assets of €2.180 billion.",kundenservice@canadalife.de,+49 6102-306-1800
https://www.cap-consultant.com/contact-us,CAP Consultants International S.à r.l.,"CAP Consultants International S.à r.l. appears to be a consulting firm with offices in Beirut, Baghdad, Abu Dhabi, and Rome.  They offer services related to inquiries, collaborations, and inspirations, as indicated by their website's contact information.",Service-based,Not found,Consulting,Not found,Not found,Not found,"Lebanon, Iraq, UAE, Italy",Not found,"p.o. box 55101 sin el fil
beirut symposium, 4th floor",55101,Beirut,Lebanon,Not found,beirut@cap-consultant.com,+961 1 49 40 71
Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/,Failed to scrape https://capelli-immobilier.lu/
https://www.capgemini.com/nl-nl/,Capgemini,"Capgemini is a global technology and consulting company that helps organizations with digital transformation, innovation, and sustainability.  They offer services in various sectors, leveraging technologies like Generative AI and working with clients such as Unilever Food Solutions, Eneco eMobility, Maxeda, Action, and OCAP.",Service-based,Enterprise,"IT Services, Consulting","UNESCO, AWS, Eneco eMobility, Maxeda, Action, OCAP, Unilever Food Solutions, Tata Steel",Not found,Not found,"Global presence with mentions of numerous countries including Netherlands, United States, Canada, Brazil, Argentina, Australia, China, India, Japan,  multiple European countries, and the Middle East.",Not found,Not found,Not found,Not found,Not found,€22.1 billion global revenues in 2024,Not found,Not found
https://www.capitalbank.co.in/,Capital SFB,"Capital SFB provides a range of banking services including accounts, loans, insurance, investments, and trade finance.  They offer both digital and physical banking options with a focus on simplified banking and exclusive benefits.",Service-based,Enterprise,Finance,Not found,Not found,Max Life insurance,Not found,Not found,Not found,Not found,Not found,Not found,"Net profit crossed ₹100 crores in 2024; Net profit of ₹93 crores in 2023 (50% growth);  Total business crossed ₹12,000 crores in 2023; Equity of ₹134 crores raised through private placement in 2022; US$ 6.0M funding in 2023.",Not found,Not found
https://www.bnkbl.com/,Bnkbl Ltd trading as Bankable,"Bankable provides licensable access to customizable lending infrastructure for lenders and FinTechs, enabling them to scale their operations and bridge the gap between lending and capital deployment to SMEs.  They offer various financial services including banking as a service (BaaS), virtual accounts, cards (prepaid, debit, and credit), payments, financing, and lending solutions.","SaaS, Product-based",Enterprise,"FinTech, Banking, Lending",Kard,Not found,Not found,"UK, Europe",Not found,Not found,Not found,Not found,Not found,Not found,Not found,+1 888 926 2289
https://www.catam.li/,CATAM Asset Management AG,"CATAM Asset Management AG provides customized wealth management and comprehensive fund management solutions to private and institutional clients.  They develop individual investment strategies tailored to client needs, focusing on transparency and close collaboration.  They offer a range of investment funds covering various market segments and traditional and alternative asset classes.",Service-based,Not found,Finance,Not found,25+,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.cbreim.com/,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
